id,title,company,location,cityNorm,postedAt,roleCategory,relevanceLevel,rnTier,rnMentionCount,rnHardRequireHits,rnOptionalHits,rnAlternativeHits,flutterMentions,rnInTitle,genericTitle,skills,seniorityLevelField,employmentType,minYearsExperience,workModeMentions,jobPosterName,jobPosterTitle,sourceQueries,dataQuality,jobUrl
4462798031,Sr Consultant,Cognizant,"Bangalore Urban, Karnataka, India",Bengaluru,2026-09-03,Cross-Platform Mobile,Medium,Not RN,0,0,0,0,5,False,True,"Accessibility, Agile/Scrum, Authentication, CI/CD, Cross-platform, Debugging, Flutter, Git, Performance Optimization, REST API, Swift, Testing (any), Xcode, iOS",Not Applicable,Full-time,,Remote/Hybrid/Onsite,,,Cross Platform Mobile Developer,,https://in.linkedin.com/jobs/view/sr-consultant-at-cognizant-4462798031
4460409077,"Mobile App Developer (ios, React)",SynapseIndia (Events),"Noida, Uttar Pradesh, India",Delhi NCR,2026-09-02,React Native,High,RN Required,5,0,0,0,3,False,False,"Android, Android Studio, App Releases, App Store / Play Store, Authentication, CI/CD, Cross-platform, Debugging, Firebase, Flutter, Git, GraphQL, JavaScript, Native Modules, React, React Native, React Navigation, Redux, Redux Toolkit, Swift, Testing (any), TypeScript, Xcode, iOS",Not Applicable,Full-time,3,not stated,,,Mobile App Developer,,https://in.linkedin.com/jobs/view/mobile-app-developer-ios-react-at-synapseindia-events-4460409077
4454653933,React Native Mobile Developer,Applied Resource Group,Greater Hyderabad Area,Hyderabad,2026-08-21,React Native,High,RN Required,8,0,2,0,0,True,False,"Agile/Scrum, Android, App Store / Play Store, Authentication, CI/CD, Context API, Cross-platform, Debugging, Expo, Firebase, Git, GraphQL, JavaScript, Jest, Kotlin, REST API, React, React Native, Redux, Swift, Testing (any), TypeScript, Zustand, iOS",Mid-Senior level,Full-time,2,not stated,,,Cross Platform Mobile Developer,,https://in.linkedin.com/jobs/view/react-native-mobile-developer-at-applied-resource-group-4454653933
4467435762,React Native Developer (Remote),Quik Hire Staffing,India,India,2026-09-15,React Native,High,RN Required,6,0,0,0,0,True,False,"Android, Context API, Cross-platform, Debugging, Git, JavaScript, REST API, React, React Native, Redux, TypeScript, iOS",Associate,Full-time,2,Remote,,,Mobile Engineer React Native,,https://in.linkedin.com/jobs/view/react-native-developer-remote-at-quik-hire-staffing-4467435762
4460463604,Software Engineer,MoxiWorks,"Pune District, Maharashtra, India",Pune,2026-09-03,React Native,High,RN Required,7,0,1,0,0,False,True,"Android, CI/CD, CSS, Debugging, Detox, Git, GitHub Actions, GraphQL, Hermes, Jest, Native Modules, New Architecture, React, React Native, React Navigation, React Testing Library, Redux, Tailwind, Testing (any), TypeScript, Xcode, Zustand, iOS",Mid-Senior level,Full-time,3,Onsite,Bhavani Kirubakaran,HR Professional,Mobile Engineer React Native,,https://in.linkedin.com/jobs/view/software-engineer-at-moxiworks-4460463604
4444010854,React Native Engineer,Infosys,"Bengaluru East, Karnataka, India",Bengaluru,2026-09-04,React Native,High,RN Required,3,1,0,0,0,True,False,"Agile/Scrum, Android, App Store / Play Store, Authentication, Cross-platform, Debugging, JavaScript, Performance Optimization, REST API, React, React Native, TypeScript, iOS",Not Applicable,Full-time,2,not stated,,,Mobile Engineer React Native,,https://in.linkedin.com/jobs/view/react-native-engineer-at-infosys-4444010854
4463240332,Staff Mobile Engineer,SPAN,"Bengaluru, Karnataka, India",Bengaluru,2026-09-08,React Native,Medium,RN Required,2,0,0,0,0,False,False,"CI/CD, React, React Native, Testing (any), TypeScript",Mid-Senior level,Full-time,11,not stated,Lakshminarayanan V,Talent Acquisition Lead @ Span.io,Mobile Engineer React Native,,https://in.linkedin.com/jobs/view/staff-mobile-engineer-at-span-4463240332
4463856035,Technical Specialist-App Development,Birlasoft,Greater Hyderabad Area,Hyderabad,2026-09-10,React / Frontend,Medium,Not RN,0,0,0,0,0,False,True,"Accessibility, CSS, JavaScript, React",Not Applicable,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/technical-specialist-app-development-at-birlasoft-4463856035
4457954101,SDE-1 – Frontend Engineer,Yappes,"Mysuru, Karnataka, India",Mysuru,2026-08-26,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Authentication, CI/CD, Debugging, Git, JavaScript, Jest, Next.js, React, React Testing Library, Redux, Testing (any), TypeScript, Zustand",Mid-Senior level,Full-time,1,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/sde-1-%E2%80%93-frontend-engineer-at-yappes-4457954101
4429740401,Senior Mobile Engineer,Accendra Health,India,India,2026-09-11,React Native,High,RN Required,3,0,0,1,0,False,False,"Agile/Scrum, Android, App Store / Play Store, Authentication, CI/CD, CSS, Cross-platform, Expo, Git, GraphQL, HTML, JavaScript, Next.js, Node.js, REST API, React, React Native, Tailwind, Testing (any), iOS",Not Applicable,Full-time,7,Remote/Hybrid,,,Mobile Engineer React Native,,https://in.linkedin.com/jobs/view/senior-mobile-engineer-at-accendra-health-4429740401
4417972630,Expert ReactJS Developer,Anaqua,"Hyderabad, Telangana, India",Hyderabad,2026-09-14,React / Frontend,Medium,Not RN,0,0,0,0,0,False,True,"AWS, Agile/Scrum, CI/CD, CSS, Context API, Debugging, Git, JavaScript, Performance Optimization, REST API, React, Redux, Testing (any), TypeScript, Zustand",Not Applicable,Full-time,5,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/expert-reactjs-developer-at-anaqua-4417972630
4459126065,Frontend SDE-2,PW (PhysicsWallah),"Noida, Uttar Pradesh, India",Delhi NCR,2026-08-26,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Agile/Scrum, CI/CD, Context API, Debugging, Git, JavaScript, Jest, Next.js, REST API, React, React Testing Library, Redux, Testing (any), TypeScript",Mid-Senior level,Full-time,3,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/frontend-sde-2-at-pw-physicswallah-4459126065
4464094452,Frontend Developer,Recrew AI,"Bangalore Urban, Karnataka, India",Bengaluru,2026-09-07,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Debugging, JavaScript, React, Redux, Redux Toolkit, Zustand",Mid-Senior level,Full-time,3,Onsite,Priya Jasmine,“Hiring the Best Minds in Tech  | Driving Success Through People”,React Developer,,https://in.linkedin.com/jobs/view/frontend-developer-at-recrew-ai-4464094452
4460955564,Senior Front-End Developer (React Developer),TransUnion,"Chennai, Tamil Nadu, India",Chennai,2026-09-02,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Agile/Scrum, CI/CD, CSS, Context API, Git, GraphQL, JavaScript, Jest, Next.js, REST API, React, React Testing Library, Redux, Redux Toolkit, Tailwind, Testing (any), TypeScript, Zustand",Not Applicable,Full-time,5,Hybrid,,,React Developer,,https://in.linkedin.com/jobs/view/senior-front-end-developer-react-developer-at-transunion-4460955564
4390908976,Senior Front End Developer,Siemens Energy,"Gurgaon, Haryana, India",Delhi NCR,2026-09-05,React Native,High,RN Strong,4,0,0,4,4,False,False,"CI/CD, CSS, Flutter, Git, GraphQL, JavaScript, Jest, React, React Native, Redux, Tailwind, Testing (any), TypeScript",Associate,Full-time,2,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-front-end-developer-at-siemens-energy-4390908976
4448346327,Sr. Front End Developer,Accenture in India,"Kochi, Kerala, India",Kochi,2026-09-01,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Agile/Scrum, CI/CD, CSS, Context API, Debugging, Git, HTML, JavaScript, Jest, React, Redux, Tailwind, Testing (any), TypeScript",Not Applicable,Full-time,3,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/sr-front-end-developer-at-accenture-in-india-4448346327
4433462994,Reactjs Developer,Infosys,"Pune Division, Maharashtra, India",Pune,2026-08-31,React / Frontend,Medium,Not RN,0,0,0,0,0,False,True,"React, TypeScript",Not Applicable,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/reactjs-developer-at-infosys-4433462994
